Название,Победитель,Год выпуска,Жанр,Страна выпуска,Рейтинг
Поцелуй женщины-паука,False,1985,драма,Бразилия,7.5
Свидетель,False,1985,триллер,США,7.1
Честь семьи Прицци,False,1985,драма,США,6.9
Амадей,True,1984,драма,США,8.2
Поля смерти,False,1984,драма,Великобритания,7.3
Место в сердце,False,1984,драма,США,7.3
Поездка в Индию,False,1984,драма,Великобритания,6.8
Армейская история,False,1984,драма,США,6.8
Язык нежности,True,1983,драма,США,7.4
Костюмер,False,1983,драма,Великобритания,7.3
Парни что надо,False,1983,драма,США,6.9
Большое разочарование,False,1983,драма,США,6.7
Нежное милосердие,False,1983,драма,США,6.6
Ганди,True,1982,драма,Великобритания,8.1
Тутси,False,1982,комедия,США,7.9
Инопланетянин,False,1982,фантастика,США,7.8
Вердикт,False,1982,драма,США,7.5
Пропавший без вести,False,1981,драма,США,7.3
Индиана Джонс: В поисках утраченного ковчега,False,1981,приключения,США,8.0
На Золотом пруду,False,1981,драма,США,7.8
Атлантик-Сити,False,1980,драма,Франция,7.0
Красные,False,1981,драма,США,6.9
Огненные колесницы,True,1981,драма,Великобритания,6.8
Человек-слон,False,1980,драма,США,8.1
Бешеный бык,False,1980,драма,США,7.8
Тэсс,False,1979,драма,Великобритания,7.3
Обыкновенные люди,True,1980,драма,США,7.2
Дочь шахтера,False,1980,драма,США,7.2
Апокалипсис сегодня,False,1979,военный,США,8.1
Крамер против Крамера,True,1979,драма,США,8.0
Весь этот джаз,False,1979,биография,США,7.7
Уходя в отрыв,False,1979,драма,США,7.2
Норма Рэй,False,1979,драма,США,6.9
Охотник на оленей,True,1978,драма,США,7.8
Полуночный экспресс,False,1978,триллер,Великобритания,7.8
Возвращение домой,False,1978,драма,США,7.1
Незамужняя женщина,False,1978,драма,США,6.6
Небеса могут подождать,False,1978,фэнтези,США,6.6
Звёздные войны: Эпизод 4 – Новая надежда,False,1977,фантастика,США,8.1
Энни Холл,True,1977,мелодрама,США,7.8
"До свиданья, дорогая",False,1977,драма,США,7.3
Джулия,False,1977,драма,США,7.0
Поворотный пункт,False,1977,драма,США,6.6
Рокки,True,1976,драма,США,8.0
Таксист,False,1976,триллер,США,7.8
Телесеть,False,1976,драма,США,7.7
Вся президентская рать,False,1976,триллер,США,7.5
На пути к славе,False,1976,биография,США,6.6
Пролетая над гнездом кукушки,True,1975,драма,США,8.5
Барри Линдон,False,1975,драма,Великобритания,8.0
Собачий полдень,False,1975,триллер,США,7.7
Челюсти,False,1975,триллер,США,7.3
Нэшвилл,False,1975,драма,США,6.9
Крестный отец 2,True,1974,драма,США,8.5
Китайский квартал,False,1974,триллер,США,7.7
Ленни,False,1974,драма,США,7.7
Разговор,False,1974,триллер,США,7.6
Вздымающийся ад,False,1974,боевик,США,7.1
Афера,True,1973,драма,США,8.1
Шепоты и крики,False,1972,драма,Швеция,7.9
Изгоняющий дьявола,False,1973,ужасы,США,7.7
Американские граффити,False,1973,драма,США,7.2
С шиком,False,1973,мелодрама,Великобритания,6.6
Крестный отец,True,1972,драма,США,8.7
Кабаре,False,1972,драма,США,8.0
Эмигранты,False,1971,драма,Швеция,7.4
Избавление,False,1972,триллер,США,7.2
Саундер,False,1972,драма,США,6.5
Последний киносеанс,False,1971,драма,США,7.9
Заводной апельсин,False,1971,фантастика,Великобритания,7.9
Скрипач на крыше,False,1971,мюзикл,США,7.8
Французский связной,True,1971,криминал,США,7.6
Николай и Александра,False,1971,драма,Великобритания,7.0
История любви,False,1970,драма,США,7.9
Пять легких пьес,False,1970,драма,США,7.4
Военно-полевой госпиталь,False,1969,комедия,США,7.3
Аэропорт,False,1970,боевик,США,7.1
Паттон,True,1970,драма,США,7.0
Буч Кэссиди и Сандэнс Кид,False,1969,вестерн,США,8.0
Полуночный ковбой,True,1969,драма,США,7.7
Дзета,False,1969,триллер,Франция,7.7
Тысяча дней Анны,False,1969,драма,Великобритания,7.6
"Хеллоу, Долли!",False,1969,мюзикл,США,7.5
Ромео и Джульетта,False,1968,драма,Великобритания,8.2
Смешная девчонка,False,1968,мюзикл,США,7.9
Лев зимой,False,1968,драма,Великобритания,7.7
